Date,Time,TOTAL PEOPLE IN
2016-09-12,8:32:00,128
2016-09-12,8:32:00,128
2016-09-12,8:32:00,128
2016-09-12,8:32:00,128
2016-09-12,8:32:00,128
2016-09-12,8:32:00,128
2016-09-12,8:33:00,127
2016-09-12,8:33:00,127
2016-09-12,8:34:00,127
2016-09-12,8:34:00,127
2016-09-12,8:34:00,127
2016-09-12,8:34:00,127
2016-09-12,8:34:00,127
2016-09-12,8:34:00,127
2016-09-12,8:34:00,128
2016-09-12,8:35:00,128
2016-09-12,8:35:00,128
2016-09-12,8:35:00,128
2016-09-12,8:35:00,129
2016-09-12,8:35:00,130
2016-09-12,8:36:00,130
2016-09-12,8:36:00,129
2016-09-12,8:36:00,129
2016-09-12,8:36:00,129
2016-09-12,8:37:00,129
2016-09-12,8:37:00,129
2016-09-12,8:37:00,129
2016-09-12,8:37:00,129
2016-09-12,8:37:00,129
2016-09-12,8:37:00,129
2016-09-12,8:37:00,130
2016-09-12,8:38:00,130
2016-09-12,8:38:00,130
2016-09-12,8:39:00,130
2016-09-12,8:39:00,129
2016-09-12,8:39:00,129
2016-09-12,8:40:00,129
2016-09-12,8:40:00,129
2016-09-12,8:41:00,129
2016-09-12,8:41:00,130
2016-09-12,8:41:00,130
2016-09-12,8:42:00,130
2016-09-12,8:42:00,130
2016-09-12,8:42:00,131
2016-09-12,8:43:00,131
2016-09-12,8:43:00,131
2016-09-12,8:43:00,132
2016-09-12,8:43:00,132
2016-09-12,8:44:00,132
2016-09-12,8:44:00,132
2016-09-12,8:44:00,132
2016-09-12,8:44:00,133
2016-09-12,8:45:00,133
2016-09-12,8:45:00,134
2016-09-12,8:46:00,134
2016-09-12,8:46:00,134
2016-09-12,8:46:00,135
2016-09-12,8:46:00,135
2016-09-12,8:47:00,135
2016-09-12,8:47:00,135
2016-09-12,8:47:00,135
2016-09-12,8:48:00,135
2016-09-12,8:48:00,135
2016-09-12,8:48:00,136
2016-09-12,8:49:00,136
2016-09-12,8:49:00,136
2016-09-12,8:49:00,136
2016-09-12,8:49:00,136
2016-09-12,8:49:00,136
2016-09-12,8:49:00,136
2016-09-12,8:50:00,136
2016-09-12,8:50:00,136
2016-09-12,8:50:00,136
2016-09-12,8:50:00,136
2016-09-12,8:51:00,136
2016-09-12,8:51:00,136
2016-09-12,8:51:00,137
2016-09-12,8:51:00,137
2016-09-12,8:51:00,138
2016-09-12,8:51:00,138
2016-09-12,8:52:00,138
2016-09-12,8:52:00,139
2016-09-12,8:52:00,139
2016-09-12,8:52:00,140
2016-09-12,8:52:00,141
2016-09-12,8:52:00,141
2016-09-12,8:53:00,141
2016-09-12,8:53:00,141
2016-09-12,8:53:00,141
2016-09-12,8:53:00,141
2016-09-12,8:53:00,141
2016-09-12,8:53:00,141
2016-09-12,8:53:00,141
2016-09-12,8:54:00,141
2016-09-12,8:55:00,141
2016-09-12,8:55:00,142
2016-09-12,8:55:00,142
2016-09-12,8:56:00,142
2016-09-12,8:56:00,143
2016-09-12,8:56:00,143
2016-09-12,8:56:00,144
2016-09-12,8:56:00,144
2016-09-12,8:56:00,144
2016-09-12,8:56:00,144
2016-09-12,8:57:00,144
2016-09-12,8:57:00,144
