ID number,Team ID,Distance one way,Distance return,Non-Emitting Modes,,Public Transport,,,,Petrol Car,,,Diesel Car,,,Motorbike,,
,,,,Walk,Bicycle,Bus,Train,Tram,Metro,Small < 1.4ltr,Medium 1.4-2.0ltr,Large >2.0ltr,Small < 1.4ltr,Medium 1.4-2.0ltr,Large >2.0ltr,0 - 125cc,125 - 500cc,> 500cc
128,Team 34,8,16,0.05,0.4,0.15,0.3,0.1,,,,,,,,,,
129,Team 21,15,30,,0.1,0.75,0.1,,,,,,,0.05,,,,
130,Team 18,15,30,,,,,,,,1,,,,,,,
131,Team 29,42,84,,,,,,,,1,,,,,,,
132,Team 2,46.5,93,,,,,,,,1,,,,,,,
133,Team 24,15,30,0.5,,0.02,0.3,0.1,0.01,,0.07,,,,,,,
134,Team 17,8.5,17,0.005,0.995,,,,,,,,,,,,,
135,Team 6,25,50,,,,,,,0.3,,,,,,,,0.7
136,Team 4,15,30,,,,,,,,,1,,,,,,
137,Team 30,50,100,,,,,,,,,,,,1,,,
138,Team 24,31.4,62.8,,,0.1,0.1,,,,0.8,,,,,,,
139,Team 2,11,22,,,,,,,,1,,,,,,,
140,Team 12,75,150,,,0.05,,,,,0.6,,,,,0.1,,
141,Team 18,37,74,,,,,,,,,,,,1,,,
142,Team 4,33,66,,,,,,,,,,,1,,,,
143,Team 1,9.5,19,,0.13,0.84,,,,,0.03,,,,,,,
144,Team 4,14,28,,,0.02,,,,,0.98,,,,,,,
145,Team 28,25,50,,,,0.01,,,,0.94,,,,,,,0.05
146,Team 29,5,10,,0.15,0.15,,,,,0.7,,,,,,,
147,Team 32,55,110,,,,,,,,,,,1,,,,
148,Team 5,7,14,,,,,,,,,1,,,,,,
149,Team 7,10,20,,,,,,,,1,,,,,,,
150,Team 11,49,98,,,,,,,,,,,1,,,,
151,Team 4,15,30,,,0.2,,,,0.8,,,,,,,,
152,Team 18,4,8,,0.05,0.15,,,,,0.8,,,,,,,
153,Team 17,8.7,17.4,,0.05,0.05,,,,0.9,,,,,,,,
154,Team 10,35,70,,,,,,,,,,,,1,,,
155,Team 12,7.5,15,,,0.02,0.02,0.02,,,0.94,,,,,,,
156,Team 25,6,12,,,,,,,,,,,,1,,,
157,Team 31,25,50,,,,,,,0.5,,,,,0.5,,,
158,Team 24,8,16,0.9,,0.07,,,,,0.03,,,,,,,
159,Team 25,25,50,,,,,,,1,,,,,,,,
160,Team 3,13,26,,,,,,,,1,,,,,,,
161,Team 15,24,48,,,,,,,,,,,,0.7,,,0.3
162,Team 23,8,16,,0.35,0.05,,,,,0.6,,,,,,,
163,Team 29,9,18,,0.05,0.01,,,,,0.94,,,,,,,
164,Team 3,15,30,,,,,,,,1,,,,,,,
165,Team 9,11.6,23.2,,,,0.05,,,0.95,,,,,,,,
166,Team 8,60,120,,,,,,,,,,,1,,,,
167,Team 9,8,16,,,0.2,,,,,0.8,,,,,,,
168,Team 17,36,72,,,,,,,,1,,,,,,,
169,Team 3,23,46,,,,,,,,0.9,,,,,,,
170,Team 16,13,26,,0.1,0.3,,,0.05,0.55,,,,,,,,
171,Team 19,80,160,0.02,,,0.63,,,,,,0.35,,,,,
172,Team 20,8.5,17,,,,,,,,1,,,,,,,
173,Team 23,20,40,,,,,,,,,,,1,,,,
174,Team 11,4.5,9,0.2,,,0.1,0.05,0.2,0.45,,,,,,,,
175,Team 22,14,28,,,,,,,,,,,1,,,,
176,Team 21,25,50,,,,1,,,,,,,,,,,
177,Team 2,2,4,0.2,0.1,,,,,,0.7,,,,,,,
178,Team 29,24,48,,,0.1,0.05,,,0.765,,,,,,,,
179,Team 21,10,20,0.05,,,0.95,,,,,,,,,,,
180,Team 31,18,36,,,,,,,,0.5,,,,,,,
181,Team 17,70,140,,,0.5,0.5,,,,,,,,,,,
182,Team 11,25,50,,,,,,,,1,,,,,,,
183,Team 32,25,50,,,,,,,,0.8,,,,,,,0.2
184,Team 34,17,34,,0.05,,0.35,,,,,0.57,,,,,,
185,Team 26,27,54,,,0.02,,,,,,,,0.98,,,,
186,Team 34,15,30,,,,,,,,,1,,,,,,
187,Team 1,20,40,0.05,,,0.95,,,,,,,,,,,
188,Team 18,15,30,,,0.9,0.07,,,,0.03,,,,,,,
189,Team 4,14,28,,,,,,,,0.5,,,,,,,
190,Team 2,23.2,46.4,,,,,,,1,,,,,,,,
191,Team 10,30,60,,,,,,,,,1,,,,,,
192,Team 30,21,42,0.04,,,0.87,,,,0.09,,,,,,,
193,Team 31,25,50,,,,,,,,,1,,,,,,
194,Team 35,20,40,,,,,,,,,1,,,,,,
195,Team 6,18,36,,,0.45,0.1,,,,0.4,,,,,,,
196,Team 24,6,12,0.2,,0.8,,,,,,,,,,,,
197,Team 4,18,36,,,,,,,,0.5,,,,,,,
198,Team 26,10,20,,,,0.4,,,,0.6,,,,,,,
199,Team 7,65,130,,,,,,,,,,,,1,,,
200,Team 29,3,6,,,,,,,,1,,,,,,,
201,Team 21,8,16,,,,,,,,1,,,,,,,
202,Team 12,55,110,,,0.7,,,,,0.3,,,,,,,
203,Team 18,32.6,65.2,,,,0.05,,,,,0.85,,,,,,0.1
204,Team 7,19,38,,,,0.02,,,,0.96,,,,,0.02,,
205,Team 30,44,88,,,0.005,0.005,,,,,,,,0.99,,,
206,Team 11,9,18,,0.2,,,,,,0.8,,,,,,,
207,Team 16,7,14,0.01,0.1,0.02,0.02,,,,0.85,,,,,,,
208,Team 8,69,138,,,,,,,,,,,0.99,,,0.01,
209,Team 9,13,26,,,,,,,,,,,0.98,,,,
210,Team 10,25,50,,,0.01,0.01,,,,0.49,,,,,,,
211,Team 6,8,16,0.02,0.02,,0.01,,,,0.95,,,,,,,
212,Team 7,56,112,,,,,,,,,,,1,,,,
213,Team 25,3.4,6.8,,,,,,,,0.99,,,,,,,0.01
214,Team 3,11,22,,,,,,,,,,,,1,,,
215,Team 16,15,30,,,0.5,0.5,,,,,,,,,,,
