Sensor_ID,Date,Time,CO2_concentration
335,2016-09-14,15:15:00.000,491.26084
335,2016-09-14,15:30:00.000,489.240835
335,2016-09-14,15:45:00.000,481.160813
335,2016-09-14,16:00:00.000,477.120802
335,2016-09-14,16:15:00.000,471.060786
335,2016-09-14,16:30:00.000,456.920749
335,2016-09-14,16:45:00.000,446.820722
335,2016-09-14,17:00:00.000,440.760706
335,2016-09-14,17:15:00.000,428.640674
335,2016-09-14,17:30:00.000,426.620669
335,2016-09-14,17:45:00.000,420.560653
335,2016-09-14,18:00:00.000,416.520642
335,2016-09-14,18:15:00.000,406.420615
335,2016-09-14,18:30:00.000,404.40061
335,2016-09-14,18:45:00.000,404.40061
335,2016-09-14,19:00:00.000,402.380604
335,2016-09-14,19:15:00.000,408.44062
335,2016-09-14,19:30:00.000,404.40061
335,2016-09-14,19:45:00.000,402.380604
335,2016-09-14,20:00:00.000,402.380604
335,2016-09-14,20:15:00.000,396.320588
335,2016-09-14,20:30:00.000,400.360599
335,2016-09-14,20:45:00.000,398.340594
335,2016-09-14,21:00:00.000,400.360599
335,2016-09-14,21:15:00.000,396.320588
335,2016-09-14,21:30:00.000,398.340594
335,2016-09-14,21:45:00.000,404.40061
335,2016-09-14,22:00:00.000,404.40061
335,2016-09-14,22:15:00.000,402.380604
335,2016-09-14,22:30:00.000,402.380604
335,2016-09-14,22:45:00.000,404.40061
335,2016-09-14,23:00:00.000,402.380604
335,2016-09-14,23:15:00.000,406.420615
335,2016-09-14,23:30:00.000,404.40061
335,2016-09-14,23:45:00.000,404.40061
335,2016-09-15,00:00:00.000,404.40061
335,2016-09-15,00:15:00.000,404.40061
335,2016-09-15,00:30:00.000,407.454028
335,2016-09-15,00:45:00.000,407.454028
335,2016-09-15,01:00:00.000,407.454028
335,2016-09-15,01:15:00.000,407.454028
335,2016-09-15,01:30:00.000,407.454028
335,2016-09-15,01:45:00.000,402.274838
335,2016-09-15,02:00:00.000,412.633218
335,2016-09-15,02:15:00.000,412.633218
335,2016-09-15,02:30:00.000,412.633218
335,2016-09-15,02:45:00.000,412.633218
335,2016-09-15,03:00:00.000,407.454028
335,2016-09-15,03:15:00.000,407.454028
335,2016-09-15,03:30:00.000,407.454028
335,2016-09-15,03:45:00.000,407.454028
335,2016-09-15,04:00:00.000,412.633218
335,2016-09-15,04:15:00.000,412.633218
335,2016-09-15,04:30:00.000,407.454028
335,2016-09-15,04:45:00.000,412.633218
335,2016-09-15,05:00:00.000,412.633218
335,2016-09-15,05:15:00.000,412.633218
335,2016-09-15,05:30:00.000,412.633218
335,2016-09-15,05:45:00.000,412.633218
335,2016-09-15,06:00:00.000,412.633218
335,2016-09-15,06:15:00.000,412.633218
335,2016-09-15,06:30:00.000,417.812408
335,2016-09-15,06:45:00.000,417.812408
335,2016-09-15,07:00:00.000,428.170788
335,2016-09-15,07:15:00.000,448.887548
335,2016-09-15,07:30:00.000,464.425117
335,2016-09-15,07:45:00.000,459.245927
335,2016-09-15,08:00:00.000,469.604307
335,2016-09-15,08:15:00.000,474.783497
335,2016-09-15,08:30:00.000,490.321067
335,2016-09-15,08:45:00.000,490.321067
335,2016-09-15,09:00:00.000,495.500257
335,2016-09-15,09:15:00.000,490.321067
335,2016-09-15,09:30:00.000,495.500257
335,2016-09-15,09:45:00.000,490.321067
335,2016-09-15,10:00:00.000,495.500257
335,2016-09-15,10:15:00.000,500.679447
335,2016-09-15,10:30:00.000,495.500257
335,2016-09-15,10:45:00.000,505.858637
335,2016-09-15,11:00:00.000,536.933777
335,2016-09-15,11:15:00.000,552.471347
335,2016-09-15,11:30:00.000,568.008917
335,2016-09-15,11:45:00.000,583.546487
335,2016-09-15,12:00:00.000,542.112967
335,2016-09-15,12:15:00.000,526.575397
335,2016-09-15,12:30:00.000,516.217017
335,2016-09-15,12:45:00.000,516.217017
335,2016-09-15,13:00:00.000,552.471347
335,2016-09-15,13:15:00.000,536.933777
335,2016-09-15,13:30:00.000,536.933777
335,2016-09-15,13:45:00.000,640.517576
335,2016-09-15,14:00:00.000,573.188107
335,2016-09-15,14:15:00.000,878.760315
335,2016-09-15,14:30:00.000,863.222745
335,2016-09-15,14:45:00.000,852.864365
335,2016-09-15,15:00:00.000,837.326795
335,2016-09-15,15:15:00.000,837.326795
